SNO,INSTCODE,NAME_OF_THE_INSTITUTION,TYPE,INST_REG,DIST,PLACE,COED,AFFL.,ESTD,A_REG,branch_code,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BCA_BOYS,BCA_GIRLS,BCB_BOYS,BCB_GIRLS,BCC_BOYS,BCC_GIRLS,BCD_BOYS,BCD_GIRLS,BCE_BOYS,BCE_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,COLLFEE
48,GIET,GIET ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2005,AU,CSM,64867,64867,167268,167268,130982,157107,129790,129790,138350,153820,64867,64867,70178,70178,68266,68266,47032,49124,51000
49,GIET,GIET ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2005,AU,ECE,93395.5,53135,171228,177787,90349,145106,135193,135193,97764,160879,106391,53135,91042,102188,151297,151297,73885,50097,51000
50,GIET,GIET ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2005,AU,INF,82739,82739,169745,172117,177286,177286,169276,174123,151052,154619,82739,86157,89694,113972,108682,108682,88633,56284,51000
51,GIET,GIET ENGINEERING COLLEGE,PVT,AU,EG,RAJAHMUNDRY,COED,JNTUK,2005,AU,MEC,91022,91022,143288,171814,159616,159616,175927,175927,174611,174814,170001,170001,168458,173528,132309,158763,111161,99480,51000
52,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009,AU,CSE,59107,59107,165928,176291,170932,177770,134684,144126,101953,101953,86256,86256,96463,96463,133901,156221,78991,78843,43000
53,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009,AU,CSM,73985,73985,174725,174725,90522,90522,124473,154040,118012,118012,104856,104856,113024,116708,135506,135506,80295,81446,43000
54,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009,AU,ECE,57918,57918,164698,173757,172577,172577,146176,146176,110188,110188,57918,57918,110671,115645,115840,115840,82387,85541,43000
55,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009,AU,MEC,113733,170543,169172,170543,143922,170543,160226,170543,170351,170543,113733,170543,161721,170543,113733,170543,133196,149140,43000
56,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,EG,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,AGR,93395.5,137018,146661,137018,140100,137018,132783,137018,135139,137018,106391,119110,130197,137018,127446,137018,107474,99480,51100
57,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,EG,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,AIM,93395.5,155850,146661,173801,140100,155850,132783,175646,135139,176721,106391,155850,130197,157868,127446,155850,107474,166519,51100
58,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,EG,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,CAI,93395.5,140950,146661,164620,140100,142037,132783,158505,135139,176233,106391,166943,130197,168884,127446,173144,107474,160511,51100
59,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,EG,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,CSE,93395.5,91496,146661,175331,140100,177498,132783,171979,135139,174227,106391,109785,130197,131921,127446,174865,107474,151916,51100
60,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,EG,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,DS,93395.5,150739,146661,175903,140100,155957,132783,173906,135139,150739,106391,119110,130197,173876,127446,159469,107474,154787,51100
61,ISTS,INTERNATIONAL SCHOOL OF TECH AND SCI FOR WOMEN,PVT,AU,EG,RAJAHMUNDRY,GIRLS,JNTUK,2010,AU,ECE,93395.5,135402,146661,174564,140100,160206,132783,166655,135139,174656,106391,119110,130197,149181,127446,135402,107474,143420,51100
62,ISTSOC,INTERNATIONAL SCHOOL OF TECH AND SCI -OFF CAMPUS,PVT,AU,EG,JANGAREDDYGUDEM,COED,JNTUK,2024,AU,AIM,142070,158739,170134,170134,172423,172423,169919,169919,145400,158739,142070,158739,142070,158739,142070,158739,172502,159058,43000
63,ISTSOC,INTERNATIONAL SCHOOL OF TECH AND SCI -OFF CAMPUS,PVT,AU,EG,JANGAREDDYGUDEM,COED,JNTUK,2024,AU,CSE,151131,151131,177512,177512,151131,151131,151131,168224,151131,151131,151131,151131,170901,170901,151131,151131,149166,99480,43000
64,JNKFSF,SCHOOL OF FOOD TECHNOLOGY JNTUK KAKINADA-SELF FINANCE,SF,AU,EG,KAKINADA,COED,JNTUK,2020,AU,FDE,67964,67964,119731,119731,129729,155669,172952,172952,120743,120743,67964,67964,111049,111049,125663,125663,96074,103437,45000
65,JNKPSF,SCHOOL OF PHARMACEUTICAL SCI. AND TECH.-SELF FINANCE,SF,AU,EG,KAKINADA,COED,JNTUK,2011,AU,PHM,176248,176248,176248,176248,176248,176248,176248,176248,176248,176248,176248,176248,176248,176248,176248,176248,107474,99480,45000
66,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,EG,KAKINADA,COED,JNTUK,1946,AU,CIV,13331,13331,36359,36359,33306,45711,27393,27393,17509,27165,19669,19669,21200,22468,36127,36127,20441,21084,10000
67,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,EG,KAKINADA,COED,JNTUK,1946,AU,CSE,2039,2074,4169,4169,14985,14985,2039,2074,2039,2074,2039,2074,2039,2074,2039,2967,2593,1572,10000
68,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,EG,KAKINADA,COED,JNTUK,1946,AU,ECE,3414,3565,9204,9204,3414,17735,3414,3645,3414,3565,3704,3704,4111,4111,7462,7462,2458,2260,10000
69,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,EG,KAKINADA,COED,JNTUK,1946,AU,EEE,5330,5330,21342,23452,22741,22741,8940,11483,9031,9031,10648,10648,7009,8194,10969,13758,5955,5725,10000
70,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,UNIV,AU,EG,KAKINADA,COED,JNTUK,1946,AU,MEC,13200,13200,27641,37184,33216,56329,17472,26491,16237,40823,13200,13200,17877,27828,15402,15402,9091,28858,10000
71,JNTKSF,JNTUK COLLEGE OF ENGG. KAKINADA-SELF FINANCE,SF,AU,EG,KAKINADA,COED,JNTUK,1946,AU,CHE,32732,32732,98668,98668,166881,166881,61633,66574,63114,95205,32732,32732,44265,46145,32732,116365,47677,39372,45000
72,JNTKSF,JNTUK COLLEGE OF ENGG. KAKINADA-SELF FINANCE,SF,AU,EG,KAKINADA,COED,JNTUK,1946,AU,PEE,61232,70358,142767,152128,82683,145732,152945,152945,103718,123472,63162,101559,84958,89741,61232,112413,67874,89170,45000
73,JNTKSS,JNTUK COLLEGE OF ENGG. KAKINADA-SELF SUPPORTING,SS,AU,EG,KAKINADA,COED,JNTUK,1946,AU,CSM,4344,6097,14507,14507,67466,81849,6493,6493,5181,6097,4344,89711,4344,6097,4344,6097,5633,5171,75000
74,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009,AU,AID,124116,175724,174750,175724,167439,175724,124116,175724,176379,176379,124116,175724,176293,176293,124116,175724,169903,170062,43000
75,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009,AU,CAI,155698,155698,174268,174268,155698,155698,155698,155698,155698,155698,155698,155698,172409,172409,155698,155698,175350,169065,43000
76,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009,AU,CSC,132895,132895,144218,144218,132895,132895,132895,166895,132895,132895,132895,132895,152691,152691,132895,132895,162543,168044,43000
77,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009,AU,CSD,175446,175446,175446,175446,175446,175446,175446,175446,175446,175446,175446,175446,175446,175446,175446,175446,168379,99480,43000
78,KIEK,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2009,AU,CSM,146475,175469,172869,175469,170303,175469,146475,175469,176726,176726,146475,175469,176358,176358,146475,175469,176985,160979,43000
79,KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2001,AU,AID,85843,119106,175187,175187,125907,177239,172857,172857,175366,175366,109536,119106,169662,173936,159321,166777,124375,139084,52400
80,KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2001,AU,CAI,86079,92592,170541,170681,149076,153846,150868,174296,155959,174223,99375,99375,168944,176670,175801,175801,136330,173302,52400
81,KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2001,AU,CSC,89558,89558,168175,170179,177686,177686,172250,174881,166604,166604,89558,89558,136101,136101,173499,173499,122888,159945,52400
82,KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2001,AU,CSD,118085,138427,153975,177456,158234,173730,164115,164115,173352,173352,118085,138427,147832,147832,142054,161548,156734,170740,52400
83,KIET,KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY,PVT,AU,EG,KAKINADA,COED,JNTUK,2001,AU,CSM,167479,167479,170960,170960,167479,167479,171531,173503,167479,170160,167479,167479,177179,177179,167479,167479,160659,156007,52400
84,KIEW,KAKINADA INST OF ENGG AND TECHNOLOGY FOR WOMEN,PVT,AU,EG,KAKINADA,GIRLS,JNTUK,2008,AU,AID,93395.5,129825,146661,176498,140100,169430,132783,138801,135139,172203,106391,119110,130197,166022,127446,158810,107474,176150,43000
85,KIEW,KAKINADA INST OF ENGG AND TECHNOLOGY FOR WOMEN,PVT,AU,EG,KAKINADA,GIRLS,JNTUK,2008,AU,CAI,93395.5,170410,146661,170410,140100,170410,132783,170410,135139,172420,106391,119110,130197,170410,127446,170410,107474,176421,43000
